NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,OCCUPATION_TYPE,CNT_FAM_MEMBERS,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,ORGANIZATION_TYPE,TARGET
0.0,0.5,0.0,1.0,0.0,0.0036277184,0.13063596,0.16810489,0.112233445,0.6666667,1.0,0.25,0.6,0.7231664,0.47058824,0.05263158,0.5,0.4347826,0.5535714,
0.0,0.5,0.0,1.0,0.05263158,0.0020889195,0.2230472,0.113376334,0.1919192,0.6666667,0.5,0.25,0.6,0.6570493,0.47058824,0.10526316,0.5,0.17391305,0.5535714,
0.0,0.0,0.0,1.0,0.0,0.0005501206,0.056179777,0.056486055,0.057239056,0.6666667,1.0,0.25,0.6,0.44621986,0.47058824,0.05263158,0.6666667,0.65217394,0.5535714,
0.0,0.5,0.0,1.0,0.0,0.0013195201,0.28151572,0.12615336,0.21885522,0.6666667,1.0,0.25,0.4,0.51081246,0.5294118,0.05263158,0.5,0.47826087,0.58928573,
0.0,0.5,1.0,1.0,0.05263158,0.0017042197,0.04494382,0.054763705,0.046015713,0.6666667,0.5,0.25,0.6,0.70374346,0.5882353,0.10526316,0.6666667,0.6086956,0.60714287,
0.0,0.0,0.0,0.0,0.15789473,0.00093482033,0.15502921,0.07666215,0.108866446,0.6666667,1.0,0.25,0.4,0.7514539,0.64705884,0.21052632,0.5,0.5217391,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.00035777074,0.12022247,0.06662683,0.10325477,0.6666667,0.75,0.25,0.2,0.6285924,0.47058824,0.05263158,0.6666667,0.6086956,0.5,
0.0,0.0,0.0,0.0,0.0,0.0011271702,0.009144944,0.026590977,0.0067340066,0.6666667,1.0,0.25,0.2,0.8081418,0.5882353,0.05263158,0.5,0.5652174,0.58928573,
0.0,0.5,0.0,1.0,0.0,0.00093482033,0.07753708,0.06810313,0.057239056,0.6666667,1.0,0.25,0.4,0.7791203,0.5882353,0.05263158,0.33333334,0.5217391,0.5535714,
0.0,0.5,0.0,1.0,0.05263158,0.002589029,0.067582026,0.122234136,0.06285073,0.6666667,1.0,0.25,0.4,0.7645531,0.47058824,0.10526316,0.33333334,0.6956522,0.5535714,
0.0,0.0,0.0,0.0,0.0,0.00035777074,0.15730338,0.07731243,0.15824915,0.6666667,1.0,0.25,0.2,0.82987976,0.64705884,0.05263158,0.5,0.6086956,0.53571427,
0.0,0.0,0.0,1.0,0.05263158,0.0013195201,0.22074607,0.12311289,0.1694725,0.6666667,1.0,0.25,0.4,0.54214895,0.5882353,0.10526316,0.5,0.4347826,0.625,
0.0,0.5,0.0,1.0,0.05263158,0.0003962407,0.056067415,0.049877852,0.046015713,1.0,0.75,0.25,0.6,0.768449,0.47058824,0.10526316,0.8333333,0.47826087,0.35714287,
0.0,0.0,0.0,1.0,0.0,0.0013195201,0.04494382,0.0783845,0.046015713,0.6666667,1.0,0.25,0.4,0.31206596,0.5882353,0.05263158,0.5,0.47826087,0.5535714,
0.0,0.0,0.0,0.0,0.0,0.0017042197,0.04494382,0.056204855,0.046015713,0.6666667,0.5,0.5,0.2,0.7564226,0.3529412,0.0,0.6666667,0.73913044,0.6964286,
0.0,0.0,0.0,1.0,0.05263158,0.0010502302,0.19067416,0.08511573,0.15824915,0.6666667,1.0,0.25,0.4,0.6742702,0.64705884,0.10526316,0.33333334,0.5217391,0.53571427,
0.0,0.0,0.0,0.0,0.10526316,0.0011271702,0.075721346,0.08131953,0.0684624,0.6666667,1.0,0.5,0.4,0.699904,0.47058824,0.10526316,0.6666667,0.3043478,0.58928573,
0.0,0.0,0.0,1.0,0.0,0.0005501206,0.08651686,0.08516846,0.08754209,0.6666667,0.75,0.25,0.2,0.6768675,0.64705884,0.05263158,0.5,0.4347826,0.53571427,
0.0,0.0,0.0,0.0,0.10526316,0.0002808308,0.056067415,0.036854777,0.046015713,0.6666667,1.0,0.25,0.2,0.67189884,0.64705884,0.15789473,0.5,0.7826087,0.53571427,
0.0,0.5,0.0,0.0,0.0,0.00151187,0.1977528,0.08783986,0.19865319,0.6666667,0.5,0.25,0.4,0.7969059,0.1764706,0.05263158,0.6666667,0.39130434,0.60714287,
0.0,0.0,0.0,1.0,0.05263158,0.0011271702,0.26966292,0.12124994,0.2704826,0.6666667,1.0,0.5,0.4,0.5430523,0.64705884,0.05263158,0.33333334,0.6956522,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.0010887003,0.06719101,0.05699573,0.046015713,0.6666667,1.0,0.25,0.2,0.8853255,0.64705884,0.05263158,0.5,0.39130434,0.53571427,
0.0,0.0,0.0,0.0,0.05263158,0.00016542088,0.098822474,0.11803371,0.07968575,0.6666667,1.0,0.25,0.2,0.6154932,0.64705884,0.10526316,0.5,0.6086956,0.53571427,
0.0,0.0,0.0,1.0,0.10526316,0.00093482033,0.20702921,0.17466037,0.1919192,0.6666667,1.0,0.25,0.4,0.71193045,0.7058824,0.15789473,0.6666667,0.5217391,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.0009732903,0.07865169,0.07722455,0.07968575,0.6666667,1.0,0.25,0.2,0.81734514,0.47058824,0.05263158,0.6666667,0.6956522,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.00047318067,0.033707865,0.04863003,0.034792367,0.6666667,1.0,0.5,0.2,0.9385128,0.47058824,0.0,0.6666667,0.65217394,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.00043471067,0.123595506,0.093727484,0.124579124,0.6666667,1.0,0.25,0.2,0.83524364,0.47058824,0.05263158,0.6666667,0.65217394,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.00081941043,0.124716856,0.06086223,0.10325477,0.6666667,1.0,0.25,0.2,0.8210716,0.5882353,0.05263158,0.33333334,0.6086956,0.5,
0.0,0.0,0.0,0.0,0.10526316,0.00093482033,0.04733483,0.088964656,0.04040404,0.6666667,1.0,0.25,0.4,0.7331037,0.47058824,0.15789473,0.33333334,0.47826087,0.625,
0.0,0.5,0.0,1.0,0.10526316,0.00058859057,0.25797752,0.11588956,0.21436588,0.6666667,1.0,0.25,0.4,0.7744904,0.1764706,0.15789473,0.5,0.5217391,0.5,
0.0,0.0,0.0,1.0,0.10526316,0.00074247044,0.06719101,0.05699573,0.046015713,0.6666667,1.0,0.25,0.8,0.6956129,0.47058824,0.15789473,0.5,0.47826087,0.625,
0.0,0.0,0.0,0.0,0.0,0.0005501206,0.15029213,0.07376228,0.124579124,0.6666667,1.0,0.5,0.2,0.55496585,0.5882353,0.0,0.6666667,0.73913044,0.5,
0.0,0.0,0.0,1.0,0.05263158,0.0005501206,0.06702584,0.071003005,0.060606062,0.6666667,0.75,0.25,0.2,0.7499294,0.47058824,0.10526316,0.5,0.39130434,0.58928573,
0.0,0.0,0.0,1.0,0.0,0.00093482033,0.019289888,0.044183552,0.016835017,0.6666667,1.0,0.25,0.6,0.47258765,0.64705884,0.05263158,0.33333334,0.3043478,0.53571427,
0.0,0.5,0.0,1.0,0.0,0.0032430186,0.07987416,0.08866588,0.0684624,0.6666667,1.0,0.25,0.4,0.76308507,0.47058824,0.05263158,0.6666667,0.73913044,0.19642857,
0.0,0.5,0.0,1.0,0.05263158,0.0018965696,0.024377529,0.05126628,0.021324355,0.6666667,1.0,0.5,0.6,0.5509006,0.47058824,0.05263158,0.16666667,0.5217391,0.58928573,
0.0,0.0,0.0,0.0,0.05263158,0.0017042197,0.07336629,0.089070104,0.06285073,0.6666667,0.5,0.25,0.4,0.86234546,0.1764706,0.10526316,0.33333334,0.4347826,0.5,
0.0,0.5,0.0,1.0,0.05263158,0.0012041101,0.079739325,0.061231304,0.05499439,0.6666667,1.0,0.25,0.6,0.9428039,0.47058824,0.10526316,0.8333333,0.4347826,0.5535714,
0.0,0.0,0.0,0.0,0.0,0.00031930077,0.19067416,0.094658956,0.15824915,0.6666667,1.0,0.25,0.2,0.6501609,0.5882353,0.05263158,0.5,0.6956522,0.625,
0.0,0.0,0.0,1.0,0.0,0.0003962407,0.07460674,0.04100248,0.046015713,0.6666667,1.0,0.25,0.4,0.30354017,0.64705884,0.05263158,0.5,0.3478261,0.53571427,
0.0,0.0,0.0,0.0,0.05263158,0.0011271702,0.062953934,0.077206984,0.053872053,0.6666667,1.0,0.25,0.2,0.8065609,0.64705884,0.10526316,0.6666667,0.6086956,0.53571427,
0.0,0.0,0.0,0.0,0.05263158,0.00074247044,0.11892135,0.115801685,0.10213243,0.6666667,1.0,0.25,0.4,0.507086,0.5882353,0.10526316,0.6666667,0.6086956,0.53571427,
0.0,0.0,0.0,0.0,0.10526316,0.00081941043,0.15842697,0.07787483,0.1593715,0.6666667,1.0,0.5,0.2,0.55361074,0.64705884,0.10526316,0.33333334,0.5652174,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.0005501206,0.04494382,0.07917538,0.046015713,0.6666667,1.0,0.25,0.2,0.79786575,0.5882353,0.05263158,0.33333334,0.4347826,0.5535714,
0.0,0.5,0.0,0.0,0.0,0.00093482033,0.056067415,0.063480906,0.046015713,0.6666667,1.0,0.25,0.4,0.7708204,0.5882353,0.05263158,0.6666667,0.73913044,0.5535714,
0.0,0.0,0.0,0.0,0.0,0.00043471067,0.06329887,0.07068665,0.057239056,0.6666667,1.0,0.25,0.2,0.6422562,0.5882353,0.05263158,0.6666667,0.65217394,0.5,
0.0,0.0,0.0,0.0,0.05263158,0.0010117603,0.15730338,0.077822104,0.15824915,0.6666667,1.0,0.75,0.2,0.68302184,0.64705884,0.05263158,0.5,0.5217391,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.0011271702,0.03318427,0.047329478,0.026936026,0.6666667,1.0,0.25,0.2,0.82570153,0.47058824,0.05263158,0.33333334,0.47826087,0.5,
0.0,0.0,1.0,1.0,0.10526316,0.0017042197,0.20569214,0.08376246,0.16498317,0.6666667,0.25,0.25,0.6,0.5987804,0.5882353,0.15789473,0.6666667,0.4347826,0.5,
0.0,0.0,0.0,1.0,0.10526316,0.00151187,0.14858428,0.08256736,0.10213243,0.6666667,1.0,0.25,0.4,0.48512223,0.1764706,0.15789473,0.5,0.5217391,0.5,
0.0,0.5,1.0,1.0,0.10526316,0.002665969,0.19345617,0.13328882,0.1694725,0.6666667,1.0,0.25,0.6,0.6901361,0.47058824,0.15789473,0.5,0.5217391,0.5535714,
0.0,0.0,0.0,0.0,0.0,0.00062706054,0.007842696,0.021845726,0.0067340066,0.6666667,1.0,0.25,0.2,0.5604427,0.64705884,0.05263158,0.5,0.47826087,0.53571427,
0.0,0.0,0.0,1.0,0.0,0.0011271702,0.10224719,0.11631136,0.10325477,1.0,1.0,0.25,0.6,0.66399413,0.47058824,0.05263158,0.5,0.39130434,0.2857143,
0.0,0.5,0.0,1.0,0.10526316,0.00151187,0.10898764,0.12989683,0.10325477,0.6666667,1.0,0.25,0.2,0.63875556,0.47058824,0.15789473,0.6666667,0.65217394,0.5535714,
0.0,0.0,0.0,0.0,0.0,0.00047318067,0.11572921,0.087804705,0.10325477,0.6666667,1.0,0.25,0.2,0.7162216,0.64705884,0.05263158,0.33333334,0.5217391,0.53571427,
0.0,0.0,0.0,0.0,0.05263158,0.00093482033,0.12022247,0.102321655,0.10325477,0.6666667,1.0,0.5,0.2,0.5699283,0.5882353,0.05263158,0.6666667,0.7826087,0.625,
0.0,0.0,0.0,0.0,0.0,0.00035777074,0.21348314,0.18295576,0.21436588,0.6666667,1.0,0.25,0.2,0.630625,0.64705884,0.05263158,0.5,0.65217394,0.53571427,
0.0,0.0,0.0,0.0,0.0,0.00093482033,0.06719101,0.05699573,0.046015713,0.6666667,1.0,0.25,0.2,0.8164982,0.64705884,0.05263158,0.5,0.3043478,0.53571427,
0.0,0.0,0.0,0.0,0.05263158,0.0013195201,0.029213483,0.033199176,0.030303031,0.6666667,1.0,0.25,0.2,0.6936367,0.64705884,0.10526316,0.6666667,0.5652174,0.53571427,
0.0,0.5,0.0,1.0,0.10526316,0.0032430186,0.14858428,0.11436053,0.10213243,1.0,1.0,0.25,0.4,0.73304725,0.47058824,0.15789473,0.5,0.6086956,0.5535714,
